android
V. norme	EN 301-549		Statut
2.1.2	5.2	Activation of accessibility features	NA
2.1.2	5.3	Biometrics	NA
2.1.2	5.4	Preservation of accessibility information during conversion	NA
2.1.2	5.5.1	Means of operation	NC
2.1.2	5.6.1	Tactile or auditory status	C
2.1.2	5.6.2	Visual status	C
2.1.2	5.7	Key repeat	NA
2.1.2	5.9	Simultaneous user actions	NC
2.1.2	6.1	Audio bandwidth for speech	NA
2.1.2	6.2.1.1	RTT communication	NA
2.1.2	6.2.1.2	Concurrent voice and text	NA
2.1.2	6.2.2.1	Visually distinguishable display	NA
2.1.2	6.2.2.2	Programmatically determinable send and receive direction	NA
3.2.1	6.2.2.3	Speaker identification	NA
3.2.1	6.2.2.4	Visual indicator of Audio with RTT	NA
2.1.2	6.2.3	Interoperability	NA
2.1.2	6.2.4	RTT responsiveness	NA
2.1.2	6.3	Caller ID	NA
2.1.2	6.4	Alternatives to voice-based services	NA
2.1.2	6.5.2	Resolution	NA
2.1.2	6.5.3	Frame rate	NA
2.1.2	6.5.4	Synchronization between audio and video	NA
3.2.1	6.5.5	Visual indicator of audio with video	NA
3.2.1	6.5.6	Speaker identification with video (sign language) communication	NA
2.1.2	7.1.1	Captioning playback	NA
2.1.2	7.1.2	Captioning synchronization	C
2.1.2	7.1.3	Preservation of captioning	NA
3.2.1	7.1.4	Captions characteristics	NA
3.2.1	7.1.5	Spoken subtitles	NA
2.1.2	7.2.1	Audio description playback	NA
2.1.2	7.2.2	Audio description synchronization	NA
2.1.2	7.2.3	Preservation of audio description	NA
2.1.2	7.3	User controls for captions and audio description	NA
2.1.2	11.1.1.1.1	Non-text content	NC
2.1.2	11.1.2.1.1	Audio-only and video-only (pre-recorded)	NA
2.1.2	11.1.2.2	Captions (pre-recorded)	NC
2.1.2	11.1.2.3.1	Audio description or media alternative (pre-recorded)	NC
2.1.2	11.1.2.5	Audio description (pre-recorded)	NA
2.1.2	11.1.3.1.1	Info and relationships	NC
2.1.2	11.1.3.2.1	Meaningful sequence	NC
2.1.2	11.1.3.3	Sensory characteristics	NC
2.1.2	11.1.3.4	Orientation	NC
2.1.2	11.1.3.5.1	Identify input purpose	NC
2.1.2	11.1.4.1	Use of colour	NC
2.1.2	11.1.4.2	Audio control	C
2.1.2	11.1.4.3	Contrast (minimum)	NC
2.1.2	11.1.4.4.1	Resize text	NC
2.1.2	11.1.4.5.1	Images of text	NA
2.1.2	11.1.4.11	Non-text contrast	NC
2.1.2	11.1.4.13	Content on hover or focus	NA
2.1.2	11.2.1.1.1	Keyboard	C
2.1.2	11.2.1.2	No keyboard trap	C
2.1.2	11.2.1.4.1	Character key shortcuts	NA
2.1.2	11.2.2.1	Timing adjustable	C
2.1.2	11.2.2.2	Pause, stop, hide	NA
2.1.2	11.2.3.1	Three flashes or below threshold	NA
2.1.2	11.2.4.3	Focus order	NC
2.1.2	11.2.4.4	Link purpose (in context)	C
2.1.2	11.2.4.6	Headings and labels	NC
2.1.2	11.2.4.7	Focus visible	C
2.1.2	11.2.5.1	Pointer gestures	NC
2.1.2	11.2.5.2	Pointer cancellation	C
2.1.2	11.2.5.3.1	Label in name	NC
2.1.2	11.2.5.4	Motion actuation	NA
2.1.2	11.3.1.1.1	Language of software	C
2.1.2	11.3.2.1	On focus	NA
2.1.2	11.3.2.2	On input	NA
2.1.2	11.3.3.1.1	Error identification	NC
2.1.2	11.3.3.2	Labels or instructions	NC
2.1.2	11.3.3.3	Error suggestion	C
2.1.2	11.3.3.4	Error prevention (legal, financial, data)	NC
2.1.2	11.4.1.2.1	Name, role, value	NC
2.1.2	11.4.1.3.1	Status messages	NC
2.1.2	11.5.2.3	Use of accessibility services	NC
2.1.2	11.5.2.5	Object information	NC
2.1.2	11.5.2.6	Row, column, and headers	NA
2.1.2	11.5.2.7	Values	NC
2.1.2	11.5.2.8	Label relationships	NC
2.1.2	11.5.2.9	Parent-child relationships	NC
2.1.2	11.5.2.10	Text	NC
2.1.2	11.5.2.11	List of available actions	NC
2.1.2	11.5.2.12	Execution of available actions	C
2.1.2	11.5.2.13	Tracking of focus and selection attributes	C
2.1.2	11.5.2.14	Modification of focus and selection attributes	C
2.1.2	11.5.2.15	Change notification	NC
2.1.2	11.5.2.16	Modifications of states and properties	NC
2.1.2	11.5.2.17	Modifications of values and text	C
2.1.2	11.6.2	No disruption of accessibility features	NA
2.1.2	11.7	User preferences	NC
2.1.2	11.8.1	Content technology	NA
2.1.2	11.8.2	Accessible content creation	NA
2.1.2	11.8.3	Preservation of accessibility information in transformations	NA
2.1.2	11.8.4	Repair assistance	NA
2.1.2	11.8.5	Templates	NA
2.1.2	12.1.1	Accessibility and compatibility features	NA
2.1.2	12.1.2	Accessible documentation	NA
2.1.2	12.2.2	Information on accessibility and compatibility features	NA
2.1.2	12.2.3	Effective communication	NA
2.1.2	12.2.4	Accessible documentation	NA
PDF			
2.1.2	10.1.1.1	Non-text content	NA
2.1.2	10.1.2.1	Audio-only and video-only (pre-recorded)	NA
2.1.2	10.1.2.2	Captions (pre-recorded)	NA
2.1.2	10.1.2.3	Audio description or media alternative (pre-recorded)	NA
2.1.2	10.1.2.5	Audio description (pre-recorded)	NA
2.1.2	10.1.3.1	Info and relationships	NA
2.1.2	10.1.3.2	Meaningful sequence	NA
2.1.2	10.1.3.3	Sensory characteristics	NA
2.1.2	10.1.3.4	Orientation	NA
2.1.2	10.1.3.5	Identify input purpose	NA
2.1.2	10.1.4.1	Use of colour	NA
2.1.2	10.1.4.2	Audio control	NA
2.1.2	10.1.4.3	Contrast (minimum)	NA
2.1.2	10.1.4.4	Resize text	NA
2.1.2	10.1.4.5	Images of text	NA
2.1.2	10.1.4.10	Reflow	NA
2.1.2	10.1.4.11	Non-text contrast	NA
2.1.2	10.1.4.12	Text spacing	NA
2.1.2	10.1.4.13	Content on hover or focus	NA
2.1.2	10.2.1.1	Keyboard	NA
2.1.2	10.2.1.2	No keyboard trap	NA
2.1.2	10.2.1.4	Character key shortcuts	NA
2.1.2	10.2.2.1	Timing adjustable	NA
2.1.2	10.2.2.2	Pause, stop, hide	NA
2.1.2	10.2.3.1	Three flashes or below threshold	NA
2.1.2	10.2.4.2	Document titled	NA
2.1.2	10.2.4.3	Focus Order	NA
2.1.2	10.2.4.4	Link purpose (in context)	NA
2.1.2	10.2.4.6	Headings and labels	NA
2.1.2	10.2.4.7	Focus visible	NA
2.1.2	10.2.5.1	Pointer gestures	NA
2.1.2	10.2.5.2	Pointer cancellation	NA
2.1.2	10.2.5.3	Label in name	NA
2.1.2	10.2.5.4	Motion actuation	NA
2.1.2	10.3.1.1	Language of document	NA
2.1.2	10.3.1.2	Language of parts	NA
2.1.2	10.3.2.1	On focus	NA
2.1.2	10.3.2.2	On input	NA
2.1.2	10.3.3.1	Error identification	NA
2.1.2	10.3.3.2	Labels or instructions	NA
2.1.2	10.3.3.3	Error suggestion	NA
2.1.2	10.3.3.4	Error prevention (legal, financial, data)	NA
2.1.2	10.4.1.1	Parsing	NA
2.1.2	10.4.1.2	Name, role, value	NA
2.1.2	10.4.1.3	Status messages	NA
